SITE2021,Site2021_2,Occupancy,HighestSig,LastSurvey,Site2021NA,SITE2021_3,Site2021_1,Occupancy2021,HighestS_1,LastSurv_1,Site2021_4,Shape_Leng,Shape_Area,TalID,ShapeInd,JulyMax,JanMin,PrcpAnn,PrcpSeas,AET,PET,CWD,HeatLoad,Elev,Slope,Rugged,TPI990m,PTalus
635,635,UNOCCUPIED,OH,2018,Site2021_635,635,635,UNOCCUPIED,OH,2018,Site2021_635,480,3175,287513,2.129655623,26.29999924,-8.119999886,270.1629944,0.40099901,295.5240051,472.2253906,177.9633942,0.90932399,1840.2,5.675755978,5.61357E-05,-15.18273983,0.0115149
597,597,UNOCCUPIED,PU,2019,Site2021_597,597,597,UNOCCUPIED,PU,2019,Site2021_597,490,3200,235576,2.165514517,26.59000015,-7.449999809,257.8460083,0.383082986,261.4129944,524.227002,262.2895935,0.973657203,1847.4,4.904123974,1.45912E-05,10.61950607,0.0299992
561,561,OCCUPIED,FH,2021,Site2021_561,561,561,OCCUPIED,FH,2021,Site2021_561,510,3300,227006,2.219490113,25.98999977,-6.440000057,261.2256104,0.386469406,254.5434021,496.3089905,243.1139984,0.946232021,1931,6.172772026,7.42435E-05,13.06667976,0.020353
798,798,UNOCCUPIED,OH,2015,Site2021_798,798,798,UNOCCUPIED,OH,2015,Site2021_798,510,2650,258110,2.476778949,26.86000061,-6.75,275.7344116,0.430853808,283.817804,437.5679871,153.390799,0.811524594,1827,23.78005981,0.000242639,9.992658138,0.0163885
77,77,UNOCCUPIED,OS,2018,Site2021_77,77,77,UNOCCUPIED,OS,2018,Site2021_77,520,3900,141107,2.081665999,28.19000053,-6.440000057,312.8680115,0.417070001,284.3346008,519.7976013,233.8865997,0.887874007,1852.2,19.34670048,0.000958013,7.265950012,0.0728012
161,161,UNOCCUPIED,OH,2015,Site2021_161,161,161,UNOCCUPIED,OH,2015,Site2021_161,520,3225,148569,2.289172356,27.09000015,-6.980000019,299.04599,0.404484987,295.8963928,463.0564026,165.822995,0.892779791,1948.6,9.707301903,0.000105417,-41.94931946,0.0183329
64,64,UNOCCUPIED,OS,2018,Site2021_64,64,64,UNOCCUPIED,OS,2018,Site2021_64,530,2875,95417,2.471137742,25.25,-6.659999847,410.4373962,0.440947801,286.3932068,503.6340027,217.1719971,0.979842007,2300.6,24.24395943,8.73566E-05,75.33280029,0.116537
396,396,UNOCCUPIED,OS,2015,Site2021_396,396,396,UNOCCUPIED,OS,2015,Site2021_396,530,3450,184285,2.255829807,23.84000015,-6.610000134,339.5440063,0.402695,276.9116028,459.7570068,177.6392029,0.925797808,2092.2,26.49816017,0.00008955,-28.82630005,0.0166915
94,94,UNOCCUPIED,OS,2017,Site2021_94,94,94,UNOCCUPIED,OS,2017,Site2021_94,550,6100,176157,1.760507099,28.97999954,-7.210000038,268.4100037,0.403483987,253.5814056,505.6011902,250.5273987,0.906714809,1825,12.15706024,8.10863E-05,13.64424171,0.0175753
441,441,UNOCCUPIED,OH,2021,Site2021_441,441,441,UNOCCUPIED,OH,2021,Site2021_441,550,3400,222856,2.358105546,26.43000031,-6.949999809,304.9360046,0.408690989,282.3222107,484.957196,202.6347961,0.925188422,1891,4.645591927,4.5836E-05,-12.42040424,0.0142926
781,781,UNOCCUPIED,OH,2015,Site2021_781,781,781,UNOCCUPIED,OH,2015,Site2021_781,550,3775,253862,2.237918262,27.27000046,-6.510000229,271.9119873,0.421050012,274.1187988,513.986792,243.0183929,0.948899174,1814.6,13.78512001,2.33531E-05,-11.95003986,0.0156562
783,783,UNOCCUPIED,OH,2015,Site2021_783,783,783,UNOCCUPIED,OH,2015,Site2021_783,550,3775,253862,2.237918262,27.27000046,-6.510000229,271.9119873,0.421050012,274.1187988,513.986792,243.0183929,0.948899174,1814.6,13.78512001,2.33531E-05,-11.95003986,0.0156562
93,93,UNOCCUPIED,PU,2017,Site2021_93,93,93,UNOCCUPIED,PU,2017,Site2021_93,560,5175,175412,1.946134531,28.32999992,-6.699999809,278.4519959,0.406789988,256.8940002,508.4727905,251.5788055,0.911725211,1850.6,6.229562092,5.88417E-05,-7.042647934,0.0212873
