"","ShapeInd","JulyMax","JanMin","PrcpAnn","AET","HeatLoad","TPI990m","PTalus"
"ShapeInd",1,-0.137028985228862,0.0864434594845888,-0.148963977204607,0.0614123978925778,-0.531764745802878,-0.0285406544369377,0.686167186483483
"JulyMax",-0.137028985228862,1,0.0293778867019639,-0.460293607712394,-0.180598119044012,-0.0137899865334459,-0.0504838954220789,-0.0786826054157892
"JanMin",0.0864434594845888,0.0293778867019639,1,0.164472335112085,0.291050875050396,0.143244772384649,-0.044043447834994,0.122359475708339
"PrcpAnn",-0.148963977204607,-0.460293607712394,0.164472335112085,1,0.360878731594852,0.177253350396814,0.145355444453879,-0.168363000580284
"AET",0.0614123978925778,-0.180598119044012,0.291050875050396,0.360878731594852,1,0.109657459952821,-0.0952441015932893,-0.0111646655677694
"HeatLoad",-0.531764745802878,-0.0137899865334459,0.143244772384649,0.177253350396814,0.109657459952821,1,-0.0164651475404879,-0.559257341896614
"TPI990m",-0.0285406544369377,-0.0504838954220789,-0.044043447834994,0.145355444453879,-0.0952441015932893,-0.0164651475404879,1,-0.016928646399989
"PTalus",0.686167186483483,-0.0786826054157892,0.122359475708339,-0.168363000580284,-0.0111646655677694,-0.559257341896614,-0.016928646399989,1
