"","OCCUPIED","UNOCCUPIED","MeanDecreaseAccuracy","MeanDecreaseGini"
"JulyMax",10.5187782936502,2.7759571515938,7.39584321763088,7.85750594596362
"JanMin",9.17373445025829,6.67769370353754,10.3403182757901,9.14685544832139
"PrcpAnn",12.5519367576342,8.99691501814289,14.1663027240029,10.0154984185554
"AET",12.7196543698225,8.77251521299798,14.4908037940608,10.5159527368704
"HeatLoad",16.5117080660522,1.63057485388273,10.7325003272967,11.3584922864573
"TPI990m",6.29510312232713,4.64925450424897,7.56854629418034,7.88613013389958
"PTalus",14.3656492805574,0.59318519368966,9.27389763477119,9.00440851604071
